episode,reward,waiting_time,resource_util
1,-1880.3333333333333,54.534,86.13333333333333
2,-1957.0,54.534,85.65333333333335
3,-2054.0,54.534,87.39999999999999
4,-1692.6666666666667,54.534,85.2
5,-2052.6666666666665,54.534,88.24000000000001
6,-1954.3333333333333,54.534,86.18666666666667
7,-1645.0,54.534,85.12
8,-2038.0,54.534,85.62666666666667
9,-1825.3333333333333,54.534,86.30666666666666
10,-1757.6666666666667,54.534,88.09333333333332
11,-2052.0,54.534,88.98666666666668
12,-1832.3333333333333,54.534,89.42666666666666
13,-1637.6666666666667,54.534,86.13333333333333
14,-2144.6666666666665,54.534,89.65333333333332
15,-1768.3333333333333,54.534,87.24000000000001
16,-1705.6666666666667,54.534,87.33333333333333
17,-1847.6666666666667,54.534,89.32
18,-1945.0,54.534,87.82666666666667
19,-1564.6666666666667,54.534,85.28
20,-1755.0,54.534,90.71999999999998
21,-1830.0,54.534,88.2
22,-1875.3333333333333,54.534,89.44000000000001
23,-1685.6666666666667,54.534,87.63999999999999
24,-1972.6666666666667,54.534,89.73333333333335
25,-1715.6666666666667,54.534,87.01333333333332
26,-1577.0,54.534,88.32
27,-1968.0,54.534,89.62666666666667
28,-1617.0,54.534,87.14666666666666
29,-1581.3333333333333,54.534,87.21333333333332
30,-1562.6666666666667,54.534,89.54666666666667
31,-1667.0,54.534,86.90666666666668
32,-1735.0,54.534,88.90666666666668
33,-1513.0,54.534,86.82666666666667
34,-1639.3333333333333,54.534,90.18666666666667
35,-1956.6666666666667,54.534,90.02666666666669
36,-1874.6666666666667,54.534,88.50666666666666
37,-1587.6666666666667,54.534,88.57333333333332
38,-1308.3333333333333,54.534,87.2
39,-1522.6666666666667,54.534,86.12
40,-1642.0,54.534,88.06666666666668
41,-1600.3333333333333,54.534,87.85333333333334
42,-1327.3333333333333,54.534,86.16000000000001
43,-1566.0,54.534,89.53333333333335
44,-1381.6666666666667,54.534,85.14666666666666
45,-1854.3333333333333,54.534,87.06666666666666
46,-1477.3333333333333,54.534,85.89333333333333
47,-1737.6666666666667,54.534,90.08
48,-1477.6666666666667,54.534,90.08
49,-1635.3333333333333,54.534,89.28000000000002
50,-1702.6666666666667,54.534,90.37333333333333
51,-1302.3333333333333,54.534,87.0
52,-1480.0,54.534,90.30666666666666
53,-1650.6666666666667,54.534,90.33333333333333
54,-1564.6666666666667,54.534,88.60000000000001
55,-1487.0,54.534,88.89333333333333
56,-1400.0,54.534,88.60000000000001
57,-1485.0,54.534,90.61333333333334
58,-1719.6666666666667,54.534,89.24000000000001
59,-1534.3333333333333,54.534,89.16000000000001
60,-1444.0,54.534,89.60000000000001
61,-963.3333333333334,54.534,86.77333333333333
62,-1170.0,54.534,87.85333333333334
63,-1339.3333333333333,54.534,88.18666666666667
64,-1402.0,54.534,89.94666666666666
65,-1530.0,54.534,89.25333333333333
66,-1218.3333333333333,54.534,88.62666666666667
67,-1412.3333333333333,54.534,89.25333333333333
68,-1269.6666666666667,54.534,88.68
69,-1512.6666666666667,54.534,91.01333333333332
70,-1302.3333333333333,54.534,88.16000000000001
71,-1404.0,54.534,89.98666666666666
72,-1427.6666666666667,54.534,90.30666666666667
73,-1646.3333333333333,54.534,91.52
74,-1248.0,54.534,89.72000000000001
75,-1409.6666666666667,54.534,88.77333333333333
76,-1406.3333333333333,54.534,89.34666666666668
77,-1368.3333333333333,54.534,91.38666666666666
78,-1638.0,54.534,89.93333333333334
79,-1262.6666666666667,54.534,88.52
80,-1245.0,54.534,89.97333333333334
81,-1294.6666666666667,54.534,89.06666666666666
82,-1457.3333333333333,54.534,89.57333333333334
83,-1294.6666666666667,54.534,90.36
84,-1217.6666666666667,54.534,85.38666666666666
85,-1199.6666666666667,54.534,89.61333333333333
86,-1191.6666666666667,54.534,88.89333333333333
87,-1310.3333333333333,54.534,89.50666666666666
88,-1235.0,54.534,89.02666666666666
89,-1312.3333333333333,54.534,90.69333333333334
90,-1363.6666666666667,54.534,88.90666666666665
91,-1177.0,54.534,88.65333333333335
92,-1313.0,54.534,89.98666666666666
93,-1322.0,54.534,90.2
94,-1232.3333333333333,54.534,88.39999999999999
95,-1032.3333333333333,54.534,89.32
96,-1204.3333333333333,54.534,90.57333333333332
97,-1259.3333333333333,54.534,89.57333333333334
98,-1082.0,54.534,88.52
99,-1213.0,54.534,90.34666666666665
100,-1134.3333333333333,54.534,88.57333333333334
101,-1618.3333333333333,54.534,90.25333333333333
102,-1382.3333333333333,54.534,90.57333333333334
103,-1007.0,54.534,89.21333333333332
104,-1325.6666666666667,54.534,89.36000000000001
105,-981.3333333333334,54.534,89.14666666666665
106,-1107.0,54.534,90.05333333333333
107,-1221.0,54.534,90.50666666666666
108,-1459.6666666666667,54.534,90.10666666666667
109,-1340.3333333333333,54.534,90.44
110,-987.6666666666666,54.534,87.66666666666667
111,-1098.0,54.534,87.85333333333334
112,-1036.3333333333333,54.534,88.12
113,-1206.3333333333333,54.534,90.52
114,-1008.0,54.534,87.21333333333332
115,-975.3333333333334,54.534,89.69333333333333
116,-927.6666666666666,54.534,89.65333333333332
117,-1094.6666666666667,54.534,90.56
118,-1213.6666666666667,54.534,91.36000000000001
119,-1025.3333333333333,54.534,89.61333333333334
120,-938.3333333333334,54.534,88.05333333333333
121,-1082.6666666666667,54.534,87.89333333333333
122,-1046.3333333333333,54.534,91.01333333333334
123,-829.0,54.534,90.12
124,-1030.0,54.534,88.34666666666668
125,-1338.3333333333333,54.534,90.53333333333335
126,-879.3333333333334,54.534,89.75999999999999
127,-1120.3333333333333,54.534,89.33333333333333
128,-1175.0,54.534,90.41333333333334
129,-889.3333333333334,54.534,87.92
130,-949.3333333333334,54.534,89.50666666666666
131,-1068.3333333333333,54.534,89.72000000000001
132,-887.0,54.534,89.24000000000001
133,-984.3333333333334,54.534,89.21333333333332
134,-1198.6666666666667,54.534,89.49333333333333
135,-1024.3333333333333,54.534,89.90666666666665
136,-1004.6666666666666,54.534,88.93333333333334
137,-864.3333333333334,54.534,89.04
138,-966.0,54.534,89.2
139,-819.0,54.534,88.97333333333334
140,-1167.0,54.534,89.67999999999999
141,-971.0,54.534,89.61333333333333
142,-913.3333333333334,54.534,90.17333333333333
143,-1042.6666666666667,54.534,89.92
144,-1073.0,54.534,90.57333333333334
145,-983.3333333333334,54.534,90.08
146,-829.0,54.534,89.63999999999999
147,-926.0,54.534,89.75999999999999
148,-1082.3333333333333,54.534,90.62666666666667
149,-1105.0,54.534,91.57333333333334
150,-940.6666666666666,54.534,90.61333333333334
151,-817.3333333333334,54.534,89.77333333333335
152,-895.6666666666666,54.534,90.61333333333334
