episode,reward,waiting_time,resource_util
1,-1790.3333333333333,54.534,85.37333333333333
2,-1878.6666666666667,54.534,87.01333333333334
3,-2220.0,54.534,85.24
4,-1902.6666666666667,54.534,87.8
5,-1763.0,54.534,84.06666666666666
6,-2075.3333333333335,54.534,87.97333333333331
7,-1789.6666666666667,54.534,88.94666666666666
8,-1586.0,54.534,86.38666666666666
9,-1762.3333333333333,54.534,87.21333333333332
10,-1857.0,54.534,88.64
11,-1836.3333333333333,54.534,86.73333333333333
12,-1986.3333333333333,54.534,88.12
13,-1615.3333333333333,54.534,86.94666666666667
14,-1980.6666666666667,54.534,88.94666666666666
15,-1795.6666666666667,54.534,88.78666666666668
16,-1860.6666666666667,54.534,89.2
17,-1545.6666666666667,54.534,87.24
18,-1776.6666666666667,54.534,89.02666666666666
19,-1692.6666666666667,54.534,84.67999999999999
20,-1541.6666666666667,54.534,85.45333333333333
21,-1730.0,54.534,85.54666666666667
22,-1571.6666666666667,54.534,87.89333333333333
23,-1612.0,54.534,84.60000000000001
24,-2111.6666666666665,54.534,90.46666666666665
25,-1761.3333333333333,54.534,87.42666666666668
26,-1329.0,54.534,86.16000000000001
27,-1886.3333333333333,54.534,90.42666666666666
28,-1402.3333333333333,54.534,88.49333333333334
29,-1710.6666666666667,54.534,91.46666666666668
30,-1436.6666666666667,54.534,87.46666666666665
31,-1722.0,54.534,88.92
32,-1526.0,54.534,84.21333333333334
33,-1593.0,54.534,86.89333333333333
34,-1508.0,54.534,85.73333333333333
35,-1378.3333333333333,54.534,84.94666666666667
36,-1696.6666666666667,54.534,88.59999999999998
37,-1738.0,54.534,87.85333333333334
38,-1500.0,54.534,88.59999999999998
39,-1651.0,54.534,86.62666666666667
40,-1667.3333333333333,54.534,88.48
41,-1646.0,54.534,89.29333333333334
42,-1506.3333333333333,54.534,88.18666666666667
43,-1537.0,54.534,87.94666666666667
44,-1729.0,54.534,89.98666666666666
45,-1634.0,54.534,89.33333333333333
46,-1578.0,54.534,89.50666666666667
47,-1383.0,54.534,87.72000000000001
48,-1496.3333333333333,54.534,89.30666666666666
49,-1794.6666666666667,54.534,91.04
50,-1348.3333333333333,54.534,87.05333333333333
